Year,earth_land_total,earth_ocean_total
1985,-0.9060276647791932,-1.45069247862388
1986,-1.2748637075603406,-1.585760712701835
1987,0.5586294882949647,-1.3565831903689658
1988,-0.41468436485016813,-1.1378950554126035
1989,-1.5663607795667502,-1.8838593582067191
1990,-1.2484157411274075,-1.7672471088189405
1991,-1.9685362012886602,-1.9989768048241403
1992,-2.488436042082495,-2.140853302177954
1993,-1.78341191203933,-1.7876143610349724
1994,-0.6168676206235473,-1.502797703029457
1995,-0.052592037164989835,-2.011609042105256
1996,-1.4789676842842614,-2.2483462581929077
1997,-0.6002698340169288,-1.9850073045111591
1998,0.9023270097103133,-1.8510182685100578
1999,-1.6696488309496753,-2.137689995141634
2000,-1.1986754965277253,-2.2703550829013985
2001,-0.8718360703106974,-2.1977185657179006
2002,-0.26406175894828476,-1.7661698331368192
2003,-0.6141301876528343,-2.0739534693878565
2004,-2.17479155255597,-2.147480157416703
2005,-0.660364140419617,-1.8696732708677988
2006,-2.3768026853451794,-2.547469338584695
2007,-1.737270113059598,-2.0317650905414775
2008,-2.6618449140796354,-2.4930357630770072
2009,-2.5227924965414052,-2.3985418187265672
2010,-1.7604277663278478,-2.328875572586987
2011,-3.039925560366315,-2.6996548117097228
2012,-1.7192601429341203,-2.54263051808278
2013,-1.8509084006502634,-2.543207928624679
2014,-3.2534366358283227,-2.712582545734042
2015,-1.6173573418212424,-1.998928654460085
2016,-1.351663205464308,-2.1503979492358956
2017,-3.1079989064868956,-2.4874222000526816
